Date,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL
2021-05-21,122.26313018798828,124.76824225453443,122.04868358173061,124.59278661639331,79295400
2021-05-24,123.89096069335938,124.70975612799803,122.76025239580743,122.82848472896345,63092900
2021-05-25,123.69602966308594,125.08018314804377,123.13067172111496,124.59279971373591,72009500
2021-05-26,123.64727783203125,124.17364475386753,123.22813421483384,123.75450113667013,56575900
2021-05-27,122.11692810058594,124.41734339161216,121.92198067731965,123.24764397847942,94625600
2021-05-28,121.46382141113281,122.62377842352186,121.40533868337067,122.39958223915701,71311100
2021-06-01,121.14216613769531,122.18515038351808,120.8107540580726,121.9219706400981,67637100
2021-06-02,121.90245819091797,122.07791381305455,120.91796422365286,121.14215297391479,59278900
2021-06-03,120.42084503173828,121.69776758173275,120.02119320163122,121.53206155124437,76229200
2021-06-04,122.7115249633789,122.97471215998662,120.72303005127523,120.93747667465416,75169300
2021-06-07,122.72128295898438,123.13067702974456,121.6782985767518,122.98446273682511,71057600
2021-06-08,123.54003143310547,125.21661302524568,123.02341420920254,123.40356678666943,74403800
2021-06-09,123.92020416259766,124.52455300706954,123.32560491924683,123.99818609803275,56877900
2021-06-10,122.92597198486328,124.95345787476269,122.7602659341765,123.81299241371467,71186400
2021-06-11,124.13465881347656,124.22239035571975,122.91621888119515,123.33536251537065,53522400
2021-06-14,127.1856460571289,127.24412880162201,123.86174536220003,124.59280941543645,96906500
2021-06-15,126.36686706542969,127.302635665895,126.12317902998467,126.65929568267117,62746300
2021-06-16,126.86395263671875,127.58527439037435,125.2166344350542,127.07839924257492,91815000
2021-06-17,128.46255493164062,129.20337594415264,126.37658632134162,126.52280804022224,96721700
2021-06-18,127.16614532470703,128.1896229684165,126.95169870686416,127.40983331102534,108953300
2021-06-21,128.95968627929688,129.06690958900398,125.9477063159808,127.01018237446559,79663300
2021-06-22,130.59725952148438,130.69474066397615,128.29684436989922,128.7939773736595,74783600
2021-06-23,130.32435607910156,130.92871251033458,129.86622139067492,130.39259586711862,60214200
2021-06-24,130.04165649414062,131.240597184488,129.5737648661965,131.05539194095186,68711000
2021-06-25,129.74923706054688,130.50954241745376,129.4568084909208,130.09040620403312,70783700
2021-06-28,131.3771209716797,131.83525576755738,129.98323224593216,130.04171500735643,62111300
2021-06-29,132.887939453125,133.04390333984907,130.95793469390316,131.39657011097157,64556100
2021-06-30,133.50201416015625,133.94064949902392,132.43952338561445,132.73195190270366,63261400
2021-07-01,133.80422973632812,133.8627124846623,132.33234449341114,133.15114759070119,52485800
2021-07-02,136.42628479003906,136.46526832234767,134.27207651002422,134.41828334809892,78852600
2021-07-06,138.4342803955078,139.53574001915328,136.53351700878477,136.53351700878477,108181800
2021-07-07,140.91986083984375,141.23177365056304,139.05808151749494,139.91585290212097,104911600
2021-07-08,139.62350463867188,140.42279367497855,137.11838445022283,138.00541248474633,105575500
2021-07-09,141.4462127685547,141.97257211610253,139.0483171610971,139.14579827567587,99890800
2021-07-12,140.85166931152344,142.62572515772004,140.36429329314447,142.51850183873523,76299700
2021-07-13,141.96282958984375,143.73688473062327,140.0035841294874,140.39347883974256,100827100
2021-07-14,145.38424682617188,145.79365573228569,143.95136027537654,144.36076918149035,127050800
2021-07-15,144.7311553955078,146.21278242197315,143.37625087333885,145.47197634550716,106820300
2021-07-16,142.69393920898438,145.97884856339024,142.1968210625346,144.7116829108476,93251400
2021-07-19,138.8533935546875,140.43250161447835,138.09308832622733,140.1205738932986,121434600
2021-07-20,142.45997619628906,143.3860023478585,139.35053030452949,139.83790622702588,96350000
2021-07-21,141.7289276123047,142.4405072449087,140.97837931958148,141.85565012536404,74993500
2021-07-22,143.0935821533203,144.4582288663732,142.12857241610413,142.25529492286392,77338200
2021-07-23,144.80911254882812,144.96507639303513,143.2105203295334,143.82461867014172,71447400
2021-07-26,145.22830200195312,146.04709009069717,143.97086362595675,144.52647939059113,72434100
2021-07-27,143.06434631347656,145.4427434254304,141.87514775749966,145.35500444699645,104818600
2021-07-28,141.3195037841797,143.25926511063363,138.9411071473103,141.1537977724019,118931200
2021-07-29,141.96282958984375,142.8498571602335,140.92959522149076,141.0368184978404,56699500
2021-07-30,142.17727661132812,142.63541107782987,140.47146121966023,140.73464833039165,70440600
2021-08-02,141.8459014892578,143.2397895751834,141.582714310116,142.6646895204393,62880000
2021-08-03,143.63943481445312,144.30225894055675,141.51446802349406,142.12856645538005,64786600
2021-08-04,143.23976135253906,144.05854922239413,142.58667948918819,143.55168904021573,56368300
2021-08-05,143.34703063964844,144.10733603044793,142.4795019309908,143.2690486927029,46397700
2021-08-06,142.66368103027344,143.61060825982952,142.16581806356817,142.86869219057516,54126800
2021-08-09,142.61485290527344,143.21034301067533,142.05841963396023,142.72223685529076,48908700
2021-08-10,142.1365203857422,144.19632898598317,141.84365370926938,142.95653516321173,69023100
2021-08-11,142.39028930664062,143.22983226015378,142.06813754468416,142.5757719782956,48493500
2021-08-12,145.34828186035156,145.50447943892834,142.3708306879483,142.71251102910742,72282600
2021-08-13,145.55323791503906,145.88514647193662,144.74298004086066,145.4263255685366,59375000
2021-08-16,147.5251922607422,147.59353426907154,142.9858112009547,145.0065628373872,103296000
2021-08-17,146.6173553466797,148.07190241442922,145.54351565601462,146.65639729187643,92229700
2021-08-18,142.87844848632812,147.13473517673972,142.67343732669485,146.2366215497856,86326000
2021-08-19,143.2103729248047,144.47945217305653,141.06270837166667,141.5800998127829,86960300
2021-08-20,144.6649169921875,144.96754045087513,143.28845394220284,143.93275769698107,60549600
2021-08-23,146.14877319335938,146.61735100093347,144.37205937525184,144.78206681885666,60131800
2021-08-24,146.06088256835938,147.27139120779157,145.60206158624175,145.89492826143862,48606400
2021-08-25,144.8308563232422,146.74423897086186,144.28417982272728,146.24636116832204,58991300
2021-08-26,144.0303497314453,145.57276688380205,144.00106455542348,144.82109417148567,48597200
2021-08-27,145.065185546875,145.2116114656549,143.33728522616812,143.97181740197544,55802400
2021-08-30,149.47763061523438,149.83883931473636,145.07491826892314,145.45564049048158,90956700
2021-08-31,148.2183380126953,149.16526528048843,147.69117494824357,149.02859613337498,86453100
2021-09-01,148.8821258544922,151.293371319359,148.71617155840954,149.1945209265185,80313700
2021-09-02,149.9950408935547,151.03959539227287,148.7747752992504,150.20980882981786,71115500
2021-09-03,150.6295623779297,150.9517142276546,149.44833892893834,150.10239938899159,57808700
2021-09-07,152.96270751953125,153.51914078415754,150.71741625258127,151.2836211735212,82278300
2021-09-08,151.4202880859375,153.30437064554417,150.31716343749,153.24580029178898,74420200
2021-09-09,150.405029296875,152.39649574316758,150.2878736971047,151.7912489116524,57305700
2021-09-10,145.4263458251953,151.78148246152148,145.16276433644302,151.3129047338198,140893200
2021-09-13,145.99253845214844,147.8180505115286,145.21156570783384,147.04684942260073,102404300
2021-09-14,144.59657287597656,147.4764113119793,143.41536423851278,146.77353720711707,109296300
2021-09-15,145.4849090576172,145.88515965134906,142.88818092204215,145.02608811276684,83281300
2021-09-16,145.25062561035156,145.42635157507343,143.71798000246844,144.90896023332135,68034100
2021-09-17,142.58558654785156,145.27994241453277,142.29271983680104,145.27994241453277,129868800
2021-09-20,139.539794921875,141.3945924183066,137.90952209387459,140.37933813407227,123478900
2021-09-21,140.01812744140625,141.16030897663776,139.38359538478255,140.5062336067531,75834000
2021-09-22,142.38058471679688,142.94677480134484,140.28171911608493,141.01387841720836,76404300
2021-09-23,143.33726501464844,143.581318108749,142.1755699033987,143.16153904107028,64838200
2021-09-24,143.42510986328125,143.96202960944674,142.09746053449825,142.1950877231893,53477900
2021-09-27,141.9119873046875,142.48796392317834,140.39887004950094,142.00961449990794,74150700
2021-09-28,138.53431701660156,141.3067568929059,138.31954907870838,139.8424381686271,108972300
2021-09-29,139.43243408203125,141.0138935757981,138.65146109771675,139.08099698388077,74602000
2021-09-30,138.13404846191406,140.9455448156453,137.9192805517919,140.2426707272125,89056700
2021-10-01,139.2566680908203,139.5202495626883,135.80088336468526,138.52450892126643,94639600
2021-10-04,135.83013916015625,138.82711719595142,134.98083947383594,138.38780987258679,98322000
2021-10-05,137.7533416748047,138.85646652806082,136.04496985928344,136.17188224652747,80861100
2021-10-06,138.62213134765625,138.76855721821823,135.0784763218966,136.15231569207103,83221100
2021-10-07,139.8814697265625,140.78935501402486,139.32503639848235,139.6569450430087,61732700
2021-10-08,139.50076293945312,140.75031377150447,139.16885425815033,140.6038878520535,58773200
2021-10-11,139.41290283203125,141.3653278052875,138.43669034540312,138.88575464341304,64452200
2021-10-12,138.14381408691406,139.84242905892054,137.68499305819657,139.82290063970592,73035900
2021-10-13,137.55810546875,138.03644005527403,135.88877555756454,137.8802573777795,78762700
2021-10-14,140.34030151367188,140.45745714105692,138.14382342191217,138.72955687137625,69907100
2021-10-15,141.39462280273438,141.4531931726663,140.09625831789816,140.3500831153651,67940300
2021-10-18,143.06390380859375,143.34699879821167,139.75454497889402,140.03763996851194,85589200
2021-10-19,145.22134399414062,145.62159463310732,143.06392303976392,143.51297237963328,76378900
2021-10-20,145.70947265625,146.1878221446277,144.59659100003023,145.16279603857302,58418800
2021-10-21,145.92420959472656,146.0804071368253,144.35250720492448,145.27014914498275,61421000
2021-10-22,145.1529998779297,146.60754657748723,145.10418628692474,146.129212114762,58883400
2021-10-25,145.1042022705078,145.8168331110648,144.10846150842693,145.14324421012236,50720600
2021-10-26,145.7680206298828,147.25185252804923,145.4653823192533,145.77777738990952,60893400
2021-10-27,145.30921936035156,146.16827612937263,144.9577823061733,145.80708231384622,56094900
2021-10-28,148.9407196044922,149.52643805425132,146.1585085567286,146.256135746264,100077900
2021-10-29,146.2366180419922,146.373287179863,142.92725865743117,143.7179883048137,124953200
2021-11-01,145.41659545898438,146.1389830509936,144.28418557941234,145.44588063726485,74588300
2021-11-02,146.45138549804688,147.96451766703325,145.11396440756303,145.12373606469237,69122000
2021-11-03,147.88641357421875,148.35499132920407,146.25614074482093,146.81257403590004,54511500
2021-11-04,147.36900329589844,148.80402155525002,147.05660823548425,147.97425010568048,60394600
2021-11-05,147.8969268798828,148.79635114627666,146.7042085245969,148.49328605752575,65463900
2021-11-08,147.0757293701172,148.18046407919945,146.80199217243356,148.02403856122066,55020900
2021-11-09,147.4374542236328,148.0435844748696,146.70422637098488,146.8410949734435,56787900
2021-11-10,144.61204528808594,146.77262935345158,144.54361846371455,146.6650887001066,65187100
2021-11-11,144.5631866455078,146.0882980655143,144.37743321812488,145.62882237351127,41000000
2021-11-12,146.6357879638672,147.03660782102534,144.18190939663026,145.11066161989166,63804000
2021-11-15,146.64556884765625,148.483531417499,146.08830852560698,147.00728981052836,59222800
2021-11-16,147.62315368652344,148.10220107873934,146.00027305253826,146.58686108718817,59256200
2021-11-17,150.05752563476562,151.53375230300938,147.61343285568483,147.6232038564801,88807000
2021-11-18,154.33953857421875,155.12165110785514,149.62733629184328,150.27258025090998,137827700
2021-11-19,156.95965576171875,157.41914644005507,153.02955003283444,154.12449892543512,117305600
2021-11-22,157.41915893554688,161.99449424357113,157.3996020130381,158.064388202726,117467900
2021-11-23,157.80039978027344,158.18167763297342,155.5029467463392,157.51687668201387,96041900
2021-11-24,158.31854248046875,158.5140669022848,156.0699743356913,157.1551520319611,69463600
2021-11-26,153.3032684326172,156.8618668141861,152.8633347292546,156.00155632601601,76959800
2021-11-29,156.6565704345703,157.58532267329434,155.2389847402696,155.8060160344783,88748200
2021-11-30,161.60342407226562,161.8185054389282,156.34373142534065,156.41217318635103,174048100
2021-12-01,161.0852508544922,166.49158221025922,160.85061260681175,163.73463874085127,152052500
2021-12-02,160.0978240966797,160.52798674829987,154.27111613625055,155.19009727061072,136739200
2021-12-03,158.2207794189453,161.27101721338744,156.14819360952984,160.35203598315746,118023100
2021-12-06,161.62295532226562,164.12570364495514,160.60620449270007,160.61597549233863,107497000
2021-12-07,167.35189819335938,167.74296195252498,164.5754126322905,165.29886939857903,120405400
2021-12-08,171.1647186279297,172.02504411674911,166.882663021836,168.28069194116756,116998900
2021-12-09,170.6563262939453,172.79735388590385,170.03063915946248,170.9985052389604,108923700
2021-12-10,175.43698120117188,175.61296364291238,170.78343380069845,171.29180928871014,115402700
2021-12-13,171.80996704101562,178.05706815750167,171.6046566651188,177.0696450374433,153237000
2021-12-14,170.43145751953125,173.76520322122326,168.35887188331523,171.3308817563336,139380400
2021-12-15,175.2903289794922,175.48585340924998,168.4566405154073,171.19402728468987,131063300
2021-12-16,168.40777587890625,177.08919884301145,166.9315491019716,175.27079308478832,150185800
2021-12-17,167.31283569335938,169.59073223954843,165.8952646870351,166.12988807604526,195432700
